,zone,pole,lat,lng
131,Uptown,10-3820,32.748301,-117.155282
132,Uptown,10-3822,32.748164,-117.155434
133,Uptown,3807-10-01 00:00:00,32.748223,-117.155182
134,Uptown,3809-10-01 00:00:00,32.748031,-117.155215
135,Uptown,3811-10-01 00:00:00,32.748102,-117.155249
136,Uptown,3812-10-01 00:00:00,32.748098,-117.155321
137,Uptown,3813-10-01 00:00:00,32.748135,-117.155238
138,Uptown,3814-10-01 00:00:00,32.748067,-117.155421
139,Uptown,3815-10-01 00:00:00,32.748088,-117.155329
140,Uptown,3816-10-01 00:00:00,32.748035,-117.155422
141,Uptown,3817-10-01 00:00:00,32.748166,-117.155278
142,Uptown,3818-10-01 00:00:00,32.748158,-117.155413
143,Uptown,3819-10-01 00:00:00,32.748075,-117.155214
144,Uptown,3820-10-01 00:00:00,32.748301,-117.155282
145,Uptown,3822-10-01 00:00:00,32.748164,-117.155434
146,Downtown,10-400E,32.709791,-117.155474
147,Downtown,10-425,32.710257,-117.155483
148,Downtown,10-601,32.711679,-117.155489
149,Downtown,10-603,32.711778,-117.15549
150,Downtown,10-605,32.711877,-117.155492
151,Downtown,10-607,32.711976,-117.155493
152,Downtown,10-609,32.712076,-117.155494
153,Downtown,10-611,32.712175,-117.155496
154,Downtown,10-613,32.712274,-117.155497
155,Downtown,10-619,32.712373,-117.155498
156,Downtown,10-625,32.712472,-117.1555
157,Downtown,10-700,32.712733,-117.155684
158,Downtown,10-702,32.712791,-117.155685
159,Downtown,10-707,32.712849,-117.155503
160,Downtown,10-709,32.718048,-117.146121
161,Downtown,10-710,32.713002,-117.155686
162,Downtown,10-712,32.713059,-117.155687
163,Downtown,10-714,32.713136,-117.155687
164,Downtown,10-715,32.713195,-117.155506
165,Downtown,10-717,32.713271,-117.155506
166,Downtown,10-719,32.713329,-117.155507
167,Downtown,10-721,32.713406,-117.155507
168,Downtown,10-723,32.713463,-117.155507
169,Downtown,10-725,32.71354,-117.155508
170,Downtown,10-800,32.713778,-117.155692
171,Downtown,10-801,32.713836,-117.15551
172,Downtown,10-802,32.713912,-117.155693
173,Downtown,10-804,32.71397,-117.155693
174,Downtown,10-806,32.714046,-117.155694
175,Downtown,10-807,32.714105,-117.155512
176,Downtown,10-811,32.714131,-117.155557
177,Downtown,10-814,32.714181,-117.155695
178,Downtown,10-816,32.714257,-117.155695
179,Downtown,10-818,32.714315,-117.155696
180,Downtown,10-819,32.714373,-117.155514
181,Downtown,10-820,32.714449,-117.155697
182,Downtown,10-824,32.714402,-117.155694
183,Downtown,10-825,32.714584,-117.155516
184,Downtown,10-826,32.714417,-117.155678
185,Downtown,10-901,32.714784,-117.155517
186,Downtown,10-902,32.714859,-117.1557
187,Downtown,10-903,32.714898,-117.155518
188,Downtown,10-904,32.714972,-117.155701
189,Downtown,10-906,32.715029,-117.155702
190,Downtown,10-907,32.715069,-117.15552
191,Downtown,10-908,32.715143,-117.155703
192,Downtown,10-909,32.715183,-117.155521
193,Downtown,10-910,32.715238,-117.155704
194,Downtown,10-912,32.715295,-117.155705
195,Downtown,10-917,32.715353,-117.155523
196,Downtown,10-919,32.71541,-117.155524
197,Downtown,10-922,32.715466,-117.155706
198,Downtown,10-924,32.715523,-117.155707
199,Downtown,10-925,32.715581,-117.155525
200,Downtown,10-927,32.715638,-117.155526
201,Downtown,11-300W,32.708909,-117.154527
202,Downtown,11-400W,32.70987,-117.154542
203,Downtown,11-500W,32.710874,-117.154637
204,Downtown,11-420,32.710219,-117.154526
205,Downtown,11-500,32.710627,-117.154752
206,Downtown,11-520,32.711274,-117.154754
207,Downtown,11-522,32.711372,-117.154755
208,Downtown,11-706,32.712896,-117.154734
209,Downtown,11-708,32.713024,-117.154601
210,Downtown,11-710,32.712948,-117.154777
211,Downtown,11-711,32.713045,-117.154596
212,Downtown,11-712,32.71314,-117.154779
213,Downtown,11-715,32.713237,-117.154598
214,Downtown,11-717,32.713333,-117.154598
215,Downtown,11-718,32.712852,-117.154776
216,Downtown,11-720,32.713044,-117.154778
217,Downtown,11-722,32.713236,-117.15478
218,Downtown,11-723,32.712758,-117.154593
219,Downtown,11-724,32.712851,-117.154781
220,Downtown,11-725,32.712756,-117.154594
221,Downtown,11-802,32.71382,-117.154785
222,Downtown,11-814,32.713917,-117.154786
223,Downtown,11-817,32.714014,-117.154604
224,Downtown,11-818,32.714128,-117.154787
225,Downtown,11-819,32.714225,-117.154606
226,Downtown,11-820,32.71434,-117.154789
227,Downtown,11-821,32.714437,-117.154607
228,Downtown,11-823,32.714635,-117.154453
229,Downtown,11-911,32.714942,-117.154612
230,Downtown,11-915,32.715132,-117.154614
231,Downtown,11-917,32.715322,-117.154616
232,Downtown,13-1016,32.715329,-117.157255
233,Downtown,13-1018,32.715329,-117.157255
234,Downtown,13-502,32.710708,-117.152887
235,Downtown,13-504,32.710689,-117.152883
236,Downtown,13-506,32.710633,-117.152926
237,Downtown,13-508,32.710692,-117.152926
238,Downtown,13-510,32.710769,-117.152897
239,Downtown,13-512,32.710808,-117.152868
240,Downtown,13-514,32.710892,-117.152928
241,Downtown,13-526,32.710952,-117.152929
242,Downtown,13-528,32.711011,-117.15293
243,Downtown,13-530,32.711071,-117.15293
244,Downtown,13-532,32.711131,-117.152931
245,Downtown,13-534,32.711191,-117.152931
246,Downtown,13-536,32.711271,-117.152932
247,Downtown,13-538,32.71133,-117.152933
248,Downtown,13-540,32.71139,-117.152934
249,Downtown,13-600,32.711675,-117.152869
250,Downtown,13-602,32.711681,-117.152928
251,Downtown,13-604,32.711896,-117.15287
252,Downtown,13-606,32.711888,-117.152846
253,Downtown,13-608,32.711961,-117.152821
254,Downtown,13-610,32.711969,-117.152815
255,Downtown,13-614,32.71212,-117.152763
256,Downtown,13-616,32.712125,-117.152768
257,Downtown,13-624,32.712416,-117.152729
258,Downtown,13-700W,32.712961,-117.152809
259,Downtown,13-700W1,32.712961,-117.152809
260,Downtown,13-700W2,32.713942,-117.153288
261,Downtown,13-701,32.712902,-117.152776
262,Downtown,13-703,32.712971,-117.152816
263,Downtown,13-705,32.712693,-117.152322
264,Downtown,13-707,32.71277,-117.152362
265,Downtown,13-709,32.713152,-117.152778
266,Downtown,13-711,32.713382,-117.152779
267,Downtown,13-717,32.713206,-117.15277
268,Downtown,13-719,32.713313,-117.152723
269,Downtown,13-721,32.71345,-117.153048
270,Downtown,13-723,32.713391,-117.152788
271,Downtown,13-800E,32.714039,-117.152831
272,Downtown,13-800W,32.714015,-117.152791
273,Downtown,13-804,32.713754,-117.152964
274,Downtown,13-806,32.713812,-117.152964
275,Downtown,13-808,32.71385,-117.152964
276,Downtown,13-810,32.713908,-117.152964
277,Downtown,13-812,32.713946,-117.152964
278,Downtown,13-814,32.713984,-117.152965
279,Downtown,13-816,32.714042,-117.152965
280,Downtown,13-817,32.714081,-117.152783
281,Downtown,13-818,32.714119,-117.152965
282,Downtown,13-820,32.714176,-117.152965
283,Downtown,13-821,32.714215,-117.152783
284,Downtown,13-827,32.714253,-117.152784
285,Downtown,13-829,32.714292,-117.152784
286,Downtown,13-830,32.714349,-117.152966
287,Downtown,13-832,32.714406,-117.152966
288,Downtown,13-833,32.714445,-117.152784
289,Downtown,13-834,32.714483,-117.152967
290,Downtown,13-835,32.714522,-117.152785
291,Downtown,13-836,32.714579,-117.152967
292,Downtown,13-837,32.714618,-117.152785
