"zone","area","sub_area","pole","config_id","config_name","date_inventory","lat","lng","sapid"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1313","49382","Sunday Mode","2021-01-04","32.719306","-117.164399","SS-000028"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1313","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.719306","-117.164399","SS-000028"
"Downtown","Core","1300 FIRST AVE","1-1314","49382","Sunday Mode","2021-01-04","32.719453","-117.163953","SS-000028"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1314","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.719453","-117.163953","SS-000028"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1315","49382","Sunday Mode","2021-01-04","32.719407","-117.164024","SS-000028"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1315","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.719407","-117.164024","SS-000028"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1317","49382","Sunday Mode","2021-01-04","32.719515","-117.164249","SS-000028"
"Downtown","Core - Columbia","1300 FIRST AVE","1-1317","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.719515","-117.164249","SS-000028"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1400","49382","Sunday Mode","2021-01-04","32.720080","-117.163956","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1400","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.720080","-117.163956","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1402","49382","Sunday Mode","2021-01-04","32.720212","-117.163956","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1402","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.720212","-117.163956","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1410","49382","Sunday Mode","2021-01-04","32.720345","-117.163957","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1410","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.720345","-117.163957","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1412","49382","Sunday Mode","2021-01-04","32.720496","-117.163957","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1412","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.720496","-117.163957","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1420","49382","Sunday Mode","2021-01-04","32.720629","-117.163958","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1420","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.720629","-117.163958","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1424","49382","Sunday Mode","2021-01-04","32.720761","-117.163959","SS-000027"
"Downtown","Cortez Hill","1400 FIRST AVE","1-1424","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.720761","-117.163959","SS-000027"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1500","49382","Sunday Mode","2021-01-04","32.721055","-117.163959","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1500","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721055","-117.163959","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1502","49382","Sunday Mode","2021-01-04","32.721131","-117.163959","SS-000038"
